,Algorithm,acc_train,acc_cv,acc_test,rec_train,rec_cv,rec_test,MCC_train,MCC_cv,MCC_test,acc_train-cv,acc_train-test,rec_train-cv,rec_train-test,MCC_train-cv,MCC_train-test
ET,"ExtraTreesClassifier(max_features=5, n_estimators=1000, random_state=42)",0.973,0.827,0.79,0.972,0.829,0.794,0.96,0.756,0.693,0.146,0.183,0.143,0.178,0.204,0.266
RF,"RandomForestClassifier(max_features=5, n_estimators=1000, random_state=42)",0.973,0.822,0.774,0.972,0.824,0.78,0.959,0.752,0.673,0.151,0.199,0.148,0.192,0.207,0.287
LGBM,"LGBMClassifier(n_estimators=1000, random_state=42)",0.973,0.838,0.774,0.972,0.839,0.78,0.96,0.767,0.664,0.135,0.199,0.133,0.192,0.193,0.296
XGB,"OneVsRestClassifier(estimator=XGBClassifier(base_score=None, booster=None,
                                            callbacks=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            early_stopping_rounds=None,
                                            enable_categorical=False,
                                            eval_metric=None,
                                            feature_types=None, gamma=None,
                                            gpu_id=None, grow_policy=None,
                                            importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None, max_bin=None,
                                            max_cat_threshold=None,
                                            max_cat_to_onehot=None,
                                            max_delta_step=None, max_depth=None,
                                            max_leaves=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=1000, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=42, ...))",0.973,0.849,0.823,0.973,0.852,0.822,0.959,0.786,0.742,0.124,0.15,0.121,0.151,0.173,0.218
MLP,"OneVsRestClassifier(estimator=MLPClassifier(hidden_layer_sizes=512,
                                            random_state=42))",0.973,0.827,0.806,0.973,0.827,0.808,0.959,0.752,0.712,0.146,0.166,0.146,0.165,0.208,0.247
GP,"GaussianProcessClassifier(max_iter_predict=500, random_state=42)",0.973,0.337,0.435,0.974,0.353,0.386,0.96,0.066,0.188,0.636,0.537,0.62,0.588,0.894,0.772
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
